x,y,z
3954,53530,24621
36252,55838,53536
16233,56160,61339
30887,15315,45158
19751,44611,11193
9341,31540,47743
31742,19384,60904
22916,7582,15497
39453,37174,13991
3018,63897,31526
48654,264,36236
64902,23093,43275
17662,28430,42344
2221,6002,60669
1169,7196,28851
36673,44616,9766
21087,36197,48518
32529,18896,39173
35104,64191,16650
14359,51303,25719
61739,26111,32135
47038,34756,64654
36461,26646,51991
6812,8821,12487
44455,50976,12136
15862,62297,4474
5906,17192,38856
31674,10458,36616
31939,55406,39808
49783,60075,23791
25927,57658,42138
10971,47554,62893
17847,33539,58918
65376,20230,47760
26085,35414,9182
57470,62857,17284
13068,14544,51322
775,21106,43253
48475,25654,55307
49139,15384,857
7293,17134,37193
64479,8859,3672
18855,33944,34791
31855,4271,48699
41654,6955,39764
64667,56054,49717
40170,21434,53586
30276,16614,55709
65165,48767,49962
41554,62444,52213
39386,9943,42539
41784,34436,64926
64765,56246,10878
5964,56103,30784
52891,40863,38522
64567,578,42768
14889,27226,31276
31891,24803,64386
63862,48431,19254
16878,50926,52318
13729,15722,4501
769,17408,64651
1083,41268,41843
34592,50156,4360
55311,19363,46450
21019,27343,12512
41552,55145,9321
45434,52883,6876
37269,56089,59365
53800,54037,52477
35508,56250,18055
37853,33614,37906
57265,24556,12516
10393,28066,1006
61774,20831,38765
39502,31636,12784
18682,3950,33744
63485,9409,46007
10040,21981,65016
47897,54285,53172
27530,38225,31547
45956,20542,41735
31613,50791,32250
52562,21042,38598
43650,57789,15860
58106,64723,62245
55894,9466,29648
60276,61970,40609
47447,53379,46318
12067,20039,24754
45896,27891,22831
16444,54426,6057
15418,64709,41486
37835,22639,41938
46161,24959,19878
34288,23351,405
57099,19720,59253
53623,19101,23145
13698,58541,41478
61745,31208,58567
28894,50913,40097
50008,56042,62027
33659,23363,56817
25873,17791,40543
43194,17924,19671
60787,23848,21092
42287,10816,21
18261,8775,5499
58630,47449,54511
44190,1268,17088
63554,14601,65528
30761,61094,37463
7557,63138,65020
52579,40366,44857
25010,9482,63437
64221,37552,42227
12611,35895,58115
39248,12835,62157
342,28251,15964
14373,62086,42670
19403,56575,5610
13112,8672,36769
64328,3933,33065
49493,6680,64792
50915,62036,60045
10648,10000,15229
44322,8888,46790
57604,34743,26656
1070,1430,34105
41136,21325,115
58227,6830,39479
50440,5153,3165
38017,28999,23723
20084,51060,52416
18162,48793,30167
63093,47342,26733
15794,45777,54271
14928,29771,57219
12259,36174,24113
55115,49901,60930
23896,43975,59755
25068,2715,60991
19902,38654,47644
44239,725,53702
13683,19977,11189
8800,48781,56058
62086,49271,29014
13523,46954,15005
33886,64463,53663
27557,29420,10338
62612,10684,39160
61307,29996,60057
42679,49154,55821
12507,16612,13758
26062,60011,7955
28717,24257,61075
28198,37906,4106
57550,11752,17379
33294,54905,1303
48284,25931,60373
4128,63694,54317
34366,60207,59904
17836,36437,62563
336,45848,56755
32517,56586,5581
5856,45133,47899
51801,45923,64310
18374,60912,46162
11832,37785,21348
2868,3898,57702
43499,39614,19533
23207,42997,13038
44210,61641,62814
3074,35274,10142
10382,63519,53366
62270,28266,54267
46934,10523,65534
23276,50418,57759
64931,53701,15736
28270,44731,57858
36431,12248,22939
31995,18856,43703
11512,26931,4636
53039,12154,62557
10233,23045,36459
21324,36147,54865
3973,37857,34898
11564,57858,39272
26864,37246,23852
28313,52322,30026
4704,31591,8531
62023,27569,43403
40194,29735,38416
23237,41962,33732
19026,15042,5415
6274,39348,32512
32959,31147,51039
45510,33413,25312
4054,7719,9806
61533,20610,30907
14618,61704,61372
32191,41529,25714
8635,57348,58912
3987,20933,27464
34764,48006,58466
59474,48254,4284
47851,30229,7821
35562,17157,44707
5630,43391,14791
14325,9221,6981
33482,30360,21328
4062,34326,33740
37341,19317,54322
32681,23815,33127
34210,32506,34218
30826,27923,10983
40374,5591,58282
3208,56887,59081
63920,24049,52998
38095,27654,32790
46357,43376,30221
31411,60785,12788
8047,63663,25429
12618,5116,12360
50848,7640,63137
49415,38772,10472
24642,58213,55529
62936,40248,30909
64576,17530,24447
20441,10732,54778
19943,22279,2752
18560,17299,46634
39195,31485,23251
62310,33687,50514
57046,40127,18892
50054,9676,51137
25627,60977,50977
663,32796,55886
59482,35914,58868
23659,4319,53390
53625,64774,4378
7650,17651,41801
724,18586,58897
38859,37570,42260
29792,233,38670
21446,33538,62803
28263,58620,16624
24831,13046,46996
48458,54404,24432
2243,57323,4038
178,63181,27657
51554,27992,34113
11634,43650,49021
11793,27658,58556
22499,20888,46579
22503,6088,55658
10407,47983,8519
19438,13723,2811
5576,16562,5912
46549,13436,31599
40630,24473,64716
15499,3180,21417
22268,13050,28961
32915,31915,10487
47494,41016,40732
33780,25133,3632
20419,28146,52402
20935,29815,26500
33423,50946,30700
18637,34352,16523
35724,4215,11183
40033,59648,35762
18578,695,12762
50299,57568,46707
38415,29255,51731
61722,53594,28656
141,23704,5509
65138,33967,956
24897,38803,44395
45483,47768,7980
52934,10058,58260
32839,10486,6508
15173,29060,37888
25047,3024,17164
50638,38129,38620
29092,35975,2897
41083,21819,56521
54658,47561,473
62370,26953,48975
6679,19540,55872
20661,48039,55201
10027,26565,57357
54440,38227,32166
702,9297,16599
39850,61832,49811
14912,42797,22029
60643,6413,1992
18989,23041,53569
19857,58635,41894
16478,27018,45804
43675,14552,11853
15274,41665,52069
14537,13638,14189
47757,2921,45931
57672,60150,26388
57584,61985,1368
61550,1815,39946
61515,52272,31844
3514,50552,63343
56085,21236,8247
39751,15677,43924
19374,41027,53151
2503,61594,26047
374,4600,5687
48677,25060,56934
28118,12575,43097
37325,48205,51901
15529,10800,35728
62620,33192,50669
37115,37787,40760
60742,58189,10965
14526,44107,62930
48253,47030,31159
65104,30400,61832
62177,6050,52560
33252,65015,58516
44219,6213,64190
8626,33349,33460
63971,39853,46528
47712,42803,14215
29912,38216,24653
51784,38373,52554
37014,40439,38221
5716,25052,29475
16407,57552,23389
29002,53672,58568
51098,43932,21634
14315,15089,20255
63722,4486,52326
47020,10619,53408
25357,34984,65266
30706,55528,25022
10036,29539,55568
59993,29782,31761
18499,7099,22881
59818,32904,426
56176,18551,64753
59481,4968,59194
59451,53279,63867
19099,57961,33130
14899,15225,44366
1651,26312,19110
20905,51594,23969
58606,61248,32580
51230,49303,40761
8365,63655,58038
34031,50092,41992
15063,51498,5933
30005,11145,37099
65465,26880,35228
51862,3969,41435
63287,893,495
18965,58504,36012
26897,9849,50148
26826,38625,26026
12153,65462,187
47977,16270,20886
47756,16690,2245
27928,14704,35566
22058,39074,26968
12592,64275,40917
63936,37799,61444
55247,56260,7121
17947,42929,57992
25121,50728,39307
23471,14786,33018
32310,36814,15034
9229,56237,42533
42748,8398,44630
33228,37060,60161
51259,49456,36246
18974,22673,55256
32449,30416,24949
14879,47168,27088
62131,40982,53619
41284,19676,36264
3893,4329,50608
56875,8553,52872
10099,50371,65328
33322,23028,59983
29148,33418,45803
2812,12376,30315
16234,20123,46768
60631,14387,39619
55277,19040,39829
58299,41041,29290
29321,48420,31113
36719,14465,59147
13056,39268,14109
37063,22163,15618
21381,14103,8230
60982,42852,30110
9666,57645,30530
64755,22337,9451
36204,18897,31559
30312,25801,16791
21838,8135,43920
22509,41113,61466
57799,36845,59694
33985,45792,7566
23094,43744,34099
25472,23468,45355
43396,50062,44061
39766,23553,14132
6782,63704,49728
4103,3986,47104
11662,3621,62078
58193,56840,32724
22183,58911,3575
60578,48183,56199
51708,3415,47216
4693,35344,25874
62519,63188,54003
47625,21405,24482
63622,15815,63944
21738,51609,53295
62763,9684,54397
30669,16000,24681
23619,27329,59887
43512,2783,48749
16663,49567,34134
41294,21212,54521
39190,19536,29069
44661,4991,48134
48281,22275,50955
45968,39788,3313
60861,47791,43758
15120,44590,37764
21478,51300,12777
62567,10209,31910
33546,46285,24454
7135,57328,56611
17980,2303,42767
23634,61199,49738
30920,29874,59085
18263,14154,44684
52582,51037,46217
48706,14261,54477
38727,6528,54995
35742,64627,59581
51137,24899,62233
60220,32997,54592
20182,52752,28938
49491,38920,41913
56963,12574,22693
6133,21059,63539
33357,60517,59578
21612,63058,52085
50569,31382,46466
8371,55708,44789
15887,601,8179
28610,61757,54203
56852,38470,1962
46883,52151,17625
13659,42698,47004
15840,5945,7802
6897,32743,2282
16793,38973,7807
41392,9515,41040
4983,15863,18758
37532,43892,34769
12156,43365,61662
6137,24324,45488
21261,21673,13356
30644,16420,24385
915,25343,19817
18333,27153,12516
37511,9232,1006
42892,1285,38765
56526,17329,12784
49662,59430,33744
31381,46665,46007
33230,18082,65016
45211,53061,53172
23489,38395,31547
43414,47825,41735
